@relation waterQuality

@attribute aluminium numeric
@attribute ammonia numeric
@attribute arsenic numeric
@attribute barium numeric
@attribute cadmium numeric
@attribute chloramine numeric
@attribute chromium numeric
@attribute copper numeric
@attribute flouride numeric
@attribute bacteria numeric
@attribute viruses numeric
@attribute lead numeric
@attribute nitrates numeric
@attribute nitrites numeric
@attribute mercury numeric
@attribute perchlorate numeric
@attribute radium numeric
@attribute selenium numeric
@attribute silver numeric
@attribute uranium numeric
@attribute is_safe {No,no,Yes,yes,Unknown}

@data
0.02,11.01,0.37,2.42,0.06,6.45,0.45,0.22,0.79,0.59,0.59,0.119,14.91,1.49,0.001,38.6,6.14,0.08,0.4,0.05,No
0.72,9.47,0.01,3.49,0.001,3.23,0.07,0.86,1.29,0.39,0.005,0.016,11.34,1.39,0.008,30.21,6.62,0.01,0.43,0.04,Yes
3.47,6.12,0.02,0.91,0.001,0.65,0.04,1.64,0.78,0,0,0.092,0.62,1.11,0.01,34.59,3,0,0.23,0.03,Yes
0.05,22.43,0.02,0.08,0.08,0.01,0.09,0.07,0.36,0,0.84,0.07,8.5,0.49,0.007,10,1.65,0.09,0.08,0.05,No
0.1,0.21,0.07,0.19,0.01,0.09,0.07,1.66,0.64,0.1,0.002,0.124,12.21,1.06,0.007,4.56,1.31,0.05,0.01,0.02,No
0.06,28.09,0.07,1.51,0.03,0.32,0.06,0.75,1.29,0.18,0.001,0.134,12.33,1.12,0.005,8.02,0.72,0.08,0.08,0.05,No
0.02,20.31,0.27,4.61,0.03,4.03,0.08,0.08,1.46,0.08,0.008,0.001,10.41,1.64,0.006,6.17,7.35,0.06,0.18,0.02,No
0.04,22.22,0.02,0.65,0.09,0.32,0.03,0.08,1.36,0,0.94,0.128,7.67,0.43,0.008,4.12,0.86,0.07,0.07,0.03,No
0.06,23.51,0.03,2.2,0.02,0.04,0.05,0.05,1.07,0,0.7,0.101,1.16,0.68,0.008,2.66,3.21,0.09,0.09,0.03,no
0.03,0.66,0.09,0.46,0.04,0.08,0.02,0.07,0.34,0,0.53,0.183,4.25,0.05,0.007,5.24,1.77,0.07,0.07,0.05,No
0.02,9.52,0.56,3.23,0.03,6.11,0.83,0.02,0.64,0.47,0.007,0.001,18.46,1.94,0.006,45.91,2.84,0.04,0.41,0.06,No
0.02,18.89,0.17,0.54,0.05,4.59,0.2,1.18,1,0.92,0.92,0.086,9.5,1.46,0.007,14.92,3.05,0.03,0.13,0.08,No
1.01,3.58,0.03,2.35,0.005,7.82,0.26,0.49,1.38,0.31,0.009,0.115,18.27,1.9,0.005,42.34,1.9,0.08,0.05,0.08,No
0.04,18.54,0.26,1.61,0.09,5.79,0.04,1.97,0.59,0.18,0.007,0.169,5.29,1.87,0.004,5.66,7.12,0.07,0.28,0.01,No
0.01,21.76,0.03,1.1,0.008,5.12,0.13,1.68,0.76,0.78,0.78,0.163,5.33,1.75,0.002,30.09,4.05,0.03,0.12,0.08,No
0.03,19.92,0.01,2.19,0.08,0.23,0,0.05,0.63,0.45,0,0.142,7.2,1.84,0.007,10.42,1.77,0.06,0.02,0.01,No
0.04,8.79,0.07,0.73,0.06,0.42,0.02,0.02,1.05,0.56,0.56,0.174,13.23,0.95,0.006,1.65,0.49,0.06,0.08,0.07,No
0.16,2.71,1,3.45,0.09,4.88,0.18,1.06,1.08,0.15,0.001,0.189,7.54,1.87,0.007,25.74,0.86,0.1,0.41,0,No
0.07,21.84,0.03,3.45,0.008,6.1,0.23,0.76,1.16,0.79,0.79,0.049,16.88,1.4,0.006,59.03,4.29,0.07,0.08,0,No
0.04,13.4,0.03,0.48,0.09,0.06,0.04,0.18,0.74,0,0.005,0.112,18.39,0.04,0.008,8.63,2.4,0.06,0,0.02,No
1.39,9.01,0.02,0.78,0.007,1.8,0.27,0.83,0.48,0.43,0.003,0.124,1.67,1.88,0.003,45.85,2.07,0.06,0.31,0.03,Yes
0.18,14.14,0.02,2.86,0.009,5.27,0.01,0.71,0.52,0.39,0.007,0.146,7.72,1.57,0.003,27.48,2.92,0.07,0.41,0.01,No
2.25,23.13,0.97,2.37,0.12,4.68,0.52,0.61,0.35,0,0.86,0.132,8.66,2.14,0,15.67,7.82,0.03,0.4,0.01,No
3.62,18.13,0.56,1.68,0.01,5.22,0.61,0.16,0.23,0,0.007,0.093,7.89,1.97,0.004,1.91,7.53,0.05,0.06,0.05,No
0.01,18,0.03,0.58,0.03,0.06,0.09,1.09,1.35,0,0.006,0.13,18.54,0.56,0.01,8.81,0.43,0.05,0.02,0.07,No
0.88,7.6,0.47,1.05,0.02,7.06,0.05,0.87,1.39,0,0.001,0.02,11.05,1.93,0.003,30.44,6.98,0.08,0.24,0.07,No
0.02,14.3,0.04,0.46,0.02,0.26,0.1,0.05,0.95,0,1,0.133,17.98,0.96,0.008,0.02,2.92,0,0.06,0.09,No
1.839918,22.517771,0.064108,2.213768,0.032096,6.22253,0.303368,0.658748,?,0.718485,0.221273,0.093502,16.169426,2.649124,0.002808,24.803716,6.868994,0.03184,0.003471,0.054492,No
4.06,1.31,0.02,1.21,0.003,1.84,0.55,1.8,1.46,0.88,0.88,0.088,16.91,1.07,0.006,9.01,2.62,0.04,0.38,0.05,Yes
2.367987,19.714681,0.253848,2.846631,0.018537,1.516886,0.400919,1.516657,0.184007,0.950534,0.002707,0.086393,7.71527,0.809431,0.004559,?,1.482379,0.056551,0.205628,0.037065,No
0.06,26.32,0.03,0.55,0.04,0.09,0.08,0.02,1.17,0,0.62,0.09,18.01,0.87,0.002,2.92,2.91,0.08,0.01,0.02,No
0.06,24.48,0.02,1.67,0.09,0.02,0.03,0.06,0.71,0,0.008,0.022,3.1,0.27,0.009,2.62,0.91,0.09,0.01,0.02,yes
0.06,26.77,0.02,0.57,0.09,0.1,0.01,0.08,0.78,0,0.55,0.17,18.01,0.39,0.003,0.67,0.19,0.04,0.07,0.01,No
0.12,1.88,0.03,1.92,0.001,7.51,0.4,1.9,1.18,0.46,0.007,0.112,15.84,1.81,0.003,6.36,6.82,0.05,0.26,0.05,No
0.09,22.02,0.01,0.5,0.05,0.01,0.07,1.54,0.47,0.67,0.67,0.042,0.85,0.4,0.008,0.06,0.39,0.1,0.08,0.08,No
0.09,17.74,0.1,0.06,0.02,0.04,0.05,1.98,0.99,0,0,0.099,10.47,0.85,0.001,0.3,1.83,0.06,0.07,0.08,No
0.72,28.53,0.04,0.59,0.005,7.21,0.06,1.83,0.61,0.55,0.55,0.188,14.75,1.55,0.005,22.69,7.24,0.04,0.49,0.06,No
0.03,23.48,0.6,1.12,0.11,4.66,0.82,1.57,0.43,0.04,0.003,0.089,15.21,2.29,0.005,29.59,5.11,0.03,0.2,0.03,No
0.01,0.51,0.06,1.24,0.1,0.02,0.02,0.76,0.24,0.28,0.007,0.027,3.87,1.89,0.001,3.02,1.17,0.07,0.05,0.06,No
0.01,13.3,0.07,0.03,0.06,0.1,0.09,1.54,0.64,0.26,0.006,0.2,14.45,1.87,0.003,0.25,1.17,0.09,0.06,0.04,No
0.09,6.5,0,1.02,0.09,0.2,0.06,0.2,1.15,0,0,0.133,8.3,1.71,0,0.15,0.22,0.03,0.09,0.02,No
1.92,19.73,0.03,1.11,0.008,1.87,0.16,0.02,0.04,0.76,0.76,0.198,10.69,1.33,0.006,15.3,4.8,0.06,0.41,0.02,yes
0.07,22.08,0.04,0.66,0.09,0.01,0.07,1.21,1.33,0.55,0.55,0.116,12.05,1.58,0.009,0.75,0.86,0.03,0.01,0.03,No
0.08,12.45,0.02,3.01,0.007,5.42,0.58,1.25,0.51,0.69,0.69,0.111,15.27,1.27,0.001,16.55,2.83,0.03,0.22,0.03,No
0.03,8.62,0.04,0.33,0.003,4.95,0.22,1.09,0.4,0.02,0.002,0.125,7.1,1.22,0.008,33.8,6.5,0.01,0.15,0.04,No
0.05,27.69,0.03,0.48,0.01,0,0.08,0.08,1.41,0,0.74,0.119,11.67,0.84,0.009,0.09,2.73,0.06,0.08,0.01,No
0.07,9.3,0.08,2.64,0.02,0.17,0.04,0.22,0.68,0.63,0.63,0.162,11.4,1.83,0.005,7.96,3.74,0.09,0.09,0.06,No
5.01,5.28,0.42,4.67,0.05,6.82,0.01,0.29,1.14,0.77,0.77,0.174,10.08,1.24,0.006,30.46,0.22,0.04,0.06,0.09,No
0.05,24.22,0.02,0.59,0.01,0.45,0.02,0.02,1.48,0,0,0.031,10.27,1,0.001,1.48,1.11,0.09,0.1,0.08,yes
0.07,13.16,0.01,0.7,0.07,0.03,0.01,0.44,0.08,0.63,0.63,0.044,16.61,1.8,0.008,1.48,1.54,0.02,0.1,0.09,No
0.08,26.02,0.06,0.52,0.03,0.01,0.05,0.71,0.99,0.75,0.75,0.071,0.31,0.93,0.002,1.13,0.1,0,0.01,0.05,No
0.05,19.74,0.03,0.3,0.01,0.05,0.01,0.04,1.35,0,0.85,0.1,12.71,0.79,0.005,0.16,1.65,0.01,0.02,0.09,No
0.09,27.45,0.03,0.74,0.002,7.07,0.52,1.69,0.96,0.25,0.001,0.021,14.05,1.27,0.005,7.96,2.36,0.01,0.43,0.01,No
0.02,6.06,0.01,0.92,0,0.14,0.1,0.86,1.31,0.15,0.009,0.046,4.69,0.87,0.008,1.42,3.1,0.02,0.03,0,No
0.08,16.91,0.02,0.23,0.08,0.1,0.06,0.41,0.72,0,0.007,0.02,1.1,0.67,0.01,9.02,1.57,0.06,0.1,0.02,Yes
2.91,13.81,0.03,0.68,0.007,5.06,0.47,1.21,1.09,0.77,0.77,0.158,1.67,1.03,0.004,1.09,0.89,0.05,0.04,0.08,Yes
0.06,0.85,0.05,0.16,0.02,0.31,0.08,0.85,0.82,0.9,0.9,0.154,14.47,2.02,0.009,0.42,2,0.03,0.09,0,No
0.07,2.65,0.09,0.57,0,0.04,0.04,1.47,0.37,0,0,0.13,17.29,2.17,0.006,0.69,0.86,0.06,0.01,0.03,No
0.06,23.95,0.05,1.29,0,0.17,0.09,0.92,1.09,0.75,0.75,0.085,6.03,1.33,0.009,1.8,0.88,0.05,0,0.01,No
0.16,2.87,0.58,2.04,0.11,7.55,0.23,1.44,0.17,0,0,0.096,14.84,1.95,0.008,25.94,4.17,0.08,0.18,0.03,no
0.01,0.4,0.001,2.15,0.008,7.18,0.11,0.53,1.05,0.38,0.003,0.076,11.5,1.32,0.01,6.7,5.65,0.07,0.38,0.05,No
4.51584,23.098613,0.391084,2.811751,0.067608,1.55185,0.641836,1.013012,1.372554,0.644015,0.085852,0.090892,4.554558,1.685915,0.004544,53.753138,5.293969,44.156001,0.395035,0.039361,Yes
2.47,29.2,0.04,1.28,0.002,2.52,0.45,1.54,1.14,0.68,0.68,0.136,8.21,1.2,0.008,22.35,3.8,0.04,0.11,0.02,yes
0.05,25.22,0.02,2.99,0.001,2.28,0.89,1.27,1.25,0.75,0.75,0.076,7.49,1.32,0.008,37.7,7.52,0.01,0.15,0.08,No
0.03,0.95,0.86,3.28,0.11,1.95,0.04,0.14,0.77,0.24,0.003,0.062,13.92,2.92,0.005,24.91,0.99,0.08,0.49,0.08,No
4.71,2.47,0.72,3.79,0.08,7.38,0.32,0.13,0.3,0,0.003,0.05,16.68,2.07,0.005,58.67,1.94,0.01,0.41,0,no
0.53,23.72,0.29,3.21,0.03,6.96,0.34,0.21,1.43,0.32,0.007,0.097,9.02,1.61,0.007,43.23,0.64,0.05,0.17,0.01,No
0.02,0.33,0.08,0.4,0.01,0.13,0.09,0.91,0.16,0.89,0.89,0.052,6.27,0.77,0.003,0.18,5.2,0.03,0.06,0.08,No
0.16,26.85,0.001,1.03,0.005,7.31,0.25,1.57,1.17,0.62,0.62,0.09,18.01,1,0.002,23.86,3.74,0.08,0.2,0.02,No
0,8.17,0.05,1.17,0.05,0.04,0.02,1.18,0.88,0.28,0.001,0.032,3.81,1.77,0.003,9.79,5.1,0.06,0.01,0.07,no
0.06,19.16,0.09,2.39,0.02,0.64,0.09,0.09,0.13,0,0.002,0.117,18.84,0.13,0.001,4.03,0.64,0.08,0.07,0.01,No
3.85,16.61,0.03,2.75,0.001,4.85,0.82,0.27,0.41,0.67,0.67,0.067,18.84,1.55,0.001,7.88,0.14,0.04,0.49,0.07,Yes
0.09,0.21,0.01,1.22,0.03,0.39,0.03,1.83,1.3,0,0,0.129,8.07,1.23,0.007,4.89,1.95,0.07,0,0.08,no
0.04,0.47,0.08,0.9,0.02,0.17,0.04,1.44,0.79,0.15,0.008,0.198,8.62,0.11,0.002,0.51,1.09,0.08,0.01,0,No
0.02,19.93,0.09,0.23,0.01,0.12,0.03,1.76,0.61,0.53,0.53,0.105,8.93,1.31,0.007,4.84,0.55,0.02,0.07,0.07,No
0.04,17.83,0.06,2.04,0.04,0.07,0.07,0.93,0.94,0.92,0.92,0.011,0.69,1.61,0.004,0.53,0.66,0,0.01,0.07,No
4.29,29.27,0.08,1.75,0.11,7.16,0.8,1.25,1.34,0.79,0.79,0.037,7.22,1.14,0.01,12.86,4.53,0.05,0.01,0.08,No
0.07,0.97,0.02,3.99,0.06,0.08,0.02,1.26,0.83,0.77,0.77,0.09,11.93,1.81,0.004,0.14,0.24,0.09,0.03,0.08,No
3.870994,9.930851,0.416532,2.377354,0.077112,4.67014,0.028915,0.757998,0.489187,0.957142,0.666458,0.109408,8.637131,1.797604,0.008333,53.538684,6.826624,0.000628,?,0.004228,No
0.26,29.24,0.02,2.01,0.001,3.88,0.41,1.5,1.01,0.61,0.61,0.131,17.99,1.72,0.003,57.49,0.45,0.06,0.41,0.05,no
0.02,9.73,0.07,0.58,0.01,0.03,0.03,0.07,0.11,0,0,0.133,13.74,1.92,0.005,1.88,0.18,0,0,0.08,No
3.96,2.71,0.84,2.89,0.12,4.57,0.18,1.06,1.08,0,0.001,0.189,6.67,1.85,0.007,25.81,0.86,0.1,0.41,0,No
0.06,19.87,0.03,0.04,0.008,6.23,0.84,1.91,0.83,0.07,0.008,0.018,0.45,1.42,0.009,12.9,2.15,0.03,0.21,0.04,No
0.05,21.03,0.14,3.88,0.11,1.18,0.52,0.06,0.14,0.66,0.66,0.144,0.76,1.87,0.006,22.19,6.84,0.02,0.46,0.05,No
0.04,8.31,0.02,0.69,0.03,0.31,0.03,0.98,0.79,0.72,0.72,0.115,1.26,1.44,0.002,0.12,0.34,0.05,0.03,0.07,No
0.01,12.82,0.02,2.5,0,0.55,0.09,1.57,0.13,0,0,0.086,10.12,2.2,0.009,1.17,0.09,0.06,0.04,0.07,No
0.09,22.74,0.02,0.01,0.005,7.75,0.06,0.28,0.28,0.19,0,0.137,18.51,1.36,0.009,18.1,6.93,0.1,0.26,0.02,No
4.55,17.78,0.08,2.93,0.1,2.94,0.82,1.54,0.05,0.45,0.009,0.111,15.1,1.25,0.006,56.17,4.35,0.05,0.38,0.03,No
0.06,0.6,0.02,0.46,0.09,0.2,0.08,0.7,0.57,0.3,0.005,0.065,16.31,2.12,0.008,2.73,3.53,0.03,0.07,0.03,No
0.08,19.16,0.75,3.32,0.1,0.35,0.42,1,0.09,0.91,0.91,0.103,4.58,2.08,0.006,27.16,1.97,0.03,0.06,0.05,No
0.1,11.83,0.09,0.31,0.02,0.37,0.02,0.05,0.52,0,0,0.025,18.38,1.59,0.009,0.17,7.12,0.09,0.08,0.04,No
0.07,11.79,0.05,3.06,0.005,4.49,0.73,0.91,0.65,0.51,0.51,0.023,16.27,1.63,0.006,22,5.65,0.03,0.31,0.03,No
1.37,17.56,0.93,0.6,0.04,8,0.03,0.57,1.44,0,0,0.092,8.05,2.01,0.009,46.27,2.68,0.02,0.3,0.07,No
0.01,14.34,0.1,0.32,0.07,0.12,0.02,1.28,0.87,0.9,0.9,0.024,13.96,0.45,0.008,0.27,0.01,0.06,0.09,0.02,No
0.26,12.58,0.05,0.73,0.001,5.45,0.7,0.3,0.14,0.57,0.57,0.044,5.51,1.43,0,48.33,5.76,0.06,0.1,0.07,No
0.06,4.56,0.07,1.74,0.05,0.18,0.05,1.38,1.39,0,0.87,0.047,2.86,0.44,0.001,3.19,1,0.09,0,0.08,No
0.1,18.74,0.09,1.25,0.04,0.04,0.09,0.36,0.64,0.69,0.69,0.005,1.16,1.56,0.001,1.38,0.97,0.07,0.08,0.05,No
0.17,16.77,0.03,1.81,0.003,0.05,0.03,0.04,1.16,0.51,0.51,0.044,5.17,1.47,0.006,51.61,3.72,0.04,0.14,0.08,No
0,16.87,0.06,1.14,0.04,0.06,0.07,1.89,1.05,0.83,0.83,0.184,1.31,1.54,0.001,10.02,0.81,0.07,0.07,0.07,No
0.06,8.58,0.7,2.67,0.03,6.8,0.01,0.01,0.95,0.62,0.62,0.021,11.21,1.25,0.005,17.02,6.67,0.08,0.24,0.07,No
0.02,9.9,0.04,1.4,0.003,3.45,0.69,0.32,0.66,0.3,0.006,0.123,1.73,1.61,0.002,35.17,0.66,0.04,0.05,0.03,Yes
0.09,13.57,0.09,0.07,0.06,0.15,0.04,0.67,0.73,0,0.92,0.057,7.37,0.03,0.009,0.42,2.75,0.09,0.09,0,No
0.34,1.93,0.52,1.24,0.12,7.07,0.88,0.4,1.41,0.82,0.82,0.023,8.81,2.27,0,10.1,4.86,0.09,0.37,0.02,no
0.09,9,0.05,1.71,0.1,0,0.08,1.08,1.14,0.91,0.91,0.135,6.01,0.6,0.006,4.03,0.47,0.03,0.05,0.06,no
0.06,3.58,0.09,0.75,0,0.03,0.06,0,0.47,0,0.005,0.141,6.15,0.42,0.007,0.21,2.42,0.01,0.09,0.09,no
0.1,18.54,0.35,4.06,0.03,4.26,0.27,0.02,0.94,0.92,0.92,0.011,1.35,1.98,0.004,52.48,4.51,0,0.12,0.07,No
0.05,18.97,0.02,0.62,0.09,0.05,0.07,0.07,0.04,0,0.76,0.198,10.69,0.91,0.006,1.88,3.29,0.06,0.08,0.02,No
0.07,8.92,0.02,0.54,0.06,0,0.08,1.49,1.45,0.42,0.009,0.159,2.7,1.24,0.001,0.83,1.52,0.04,0.05,0,No
?,2.547239,0.480044,4.107816,0.113514,7.912332,0.486136,0.004239,0.388788,0.321416,0.205513,0.199614,3.690283,0.069772,0.000224,55.694242,7.986309,0.044362,0.282499,0.089746,No
0.07,23.53,0.02,1.66,0.02,0.4,0,1.56,0.21,0.73,0.73,0.111,4.7,0.73,0.001,0.96,0.66,0.09,0.06,0.04,No
1.75,9.07,0.42,1.59,0.12,0.48,0.44,1.43,1.35,0.27,0.004,0.026,7.28,2.42,0.009,1.48,6.8,0.07,0.34,0.06,No
0.12,14.69,0.49,3.89,0.13,6.09,0.68,1.3,0.5,0.1,0.008,0.036,2.2,2.13,0.008,3.66,0.86,0.01,0.19,0.02,No
0.02,1.57,0.05,0.76,0.09,0.01,0.06,1.77,0.06,0,0.75,0.098,1.02,0.31,0.009,8.46,0.79,0.04,0.02,0.05,No
0.28,23.06,0.7,4.35,0.12,0.78,0.47,0.54,1.33,0,0,0.166,11.71,1.7,0.006,11.24,0.92,0.07,0.03,0.08,No
0.04,13.59,0.05,1.29,0.01,8.23,0.33,0.03,1.31,0.76,0.76,0.088,9.79,1.17,0.01,30.94,7.38,0.1,0.35,0.06,No
0.03,8.13,0.04,1.11,0.08,0.02,0.05,0.17,0.05,0.2,0,0.054,16.88,1.38,0.007,1.07,4.68,0.08,0.06,0.02,No
0.06,2.48,0.72,1.26,0.01,5.87,0.68,1.25,0.29,0.78,0.78,0.112,3.38,1.61,0.006,47.51,3.04,0.07,0.32,0.06,No
2.55,23.92,0.05,0.52,0.006,7.48,0.07,0.64,0.43,0,0,0.059,16.37,1.75,0.006,52.24,0.97,0.03,0.23,0.06,No
0.02,20.77,0.02,3.23,0.004,4,0.71,1.56,0.63,0.45,0.006,0.142,6.29,1.62,0.007,46.27,1.77,0.06,0.03,0.01,Yes
0.02,8.09,0.06,0.36,0.05,0.04,0.08,0.05,0.95,0,0.62,0.021,10.39,0.17,0.005,3.29,5.31,0.08,0.01,0.07,No
1.87,0.07,0.03,3.02,0.008,6.16,0.37,1.11,0.61,0.73,0.73,0.178,12.09,1.86,0.008,36.11,3.83,0.06,0.33,0.07,yes
0.09,7.25,0.09,0.15,0.04,0.11,0.02,0.06,0.58,0,0.8,0.121,1.88,0.79,0.001,3.75,0.12,0.08,0.04,0.07,No
3.439308,4.428348,0.795191,3.889544,0.090382,6.825309,0.033455,1.304863,0.706891,0.050732,0.166236,0.131636,10.311168,2.881115,0.00082,53.50326,?,0.074062,0.360694,0.088883,Yes
0,9.63,0.05,0.6,0.01,0.08,0.1,0.01,1.27,0,0.61,0.087,16.37,0.07,0.009,8.82,1.23,0.09,0.06,0.05,no
0.61,9.24,0.64,0.66,0.05,0.77,0.78,0.58,1.32,0.59,0.59,0.118,9.45,1.83,0.005,19.76,4.02,0.04,0.03,0.06,No
0.08,3.87,0.01,1,0.01,0.11,0.06,1.83,0.79,0,0.7,0.122,2.07,0.18,0.01,1.73,0.57,0.09,0.01,0,No
0.03,26.95,0.11,1.2,0.03,4.11,0.13,1.34,0.29,0.96,0.96,0.167,15.66,1.95,0.002,39.66,7.99,0.06,0.5,0.06,No
1.1,18.57,0.5,2.95,0.02,5.06,0.13,0.55,1.01,0.68,0.68,0.198,12.33,1.44,0.007,21.92,1.02,0.03,0.26,0.06,No
0.01,21.07,0.1,0.77,0.07,0.31,0.07,1.05,1,0,0.007,0.109,2.57,0.57,0.001,6.53,0.27,0.04,0.1,0.05,No
0.06,13.22,0.04,2.29,0.007,2.34,0.82,1.74,0.52,0.2,0.003,0.105,3.1,1.28,0.009,10.16,6.85,0.01,0.15,0.07,No
0.8,9.64,0.82,0.96,0.12,4.65,0.66,0.01,0.56,0,0.002,0.001,16.19,1.45,0.003,59.72,3.36,0.05,0.04,0.08,No
0.1,21.75,0.08,0.99,0.09,0.3,0.05,0.76,1.16,0.79,0.79,0.049,16.88,1.4,0.006,11.59,2.33,0.07,0,0,No
3.55,24.15,0.58,2.16,0.01,5.8,0.89,0.15,0.52,0.45,0.008,0.025,18.42,1.52,0.009,8.03,7.12,0.09,0.26,0.04,No
0.08,0.47,0.03,1.69,0.002,3,0.18,0.7,0.57,0.3,0.005,0.065,15.53,1.38,0.008,33.34,5.93,0.03,0.47,0.03,No
0.07,0.33,0.02,1.57,0,0.03,0,0.31,1.3,0.37,0.001,0.154,15.46,1.58,0.007,5.8,2.09,0.09,0.06,0.04,No
2.53,7.37,0.32,2.04,0.02,4.77,0.62,0.05,1.37,0.94,0.94,0.151,8.74,1.47,0,47.67,5.56,0.07,0.17,0.03,No
0.04,10.72,0.03,0.11,0.05,0.02,0.03,0.36,0.64,0,0,0.005,1.95,2.44,0.001,2.3,0.94,0.07,0.06,0.05,No
0.12,23.37,0.05,1.65,0.006,7.09,0.47,1.95,1.38,0.46,0.003,0.191,18.27,1.03,0.009,29.38,2.4,0.05,0.35,0.02,No
0.02,26.71,0.35,1.06,0.06,5.42,0.8,0.06,0.96,0.45,0,0.138,6.18,2.02,0,4.88,0.2,0.01,0.01,0.06,No
